iter	Passed	Remaining
0	1	1491
1	3	1589
2	4	1595
3	6	1704
4	15	3010
5	32	5385
6	43	6187
7	52	6564
8	87	9581
9	88	8785
10	91	8241
11	93	7670
12	110	8417
13	112	7927
14	114	7531
15	117	7222
16	119	6919
17	129	7087
18	132	6855
19	134	6576
20	135	6340
21	138	6163
22	140	5964
23	142	5787
24	150	5881
25	156	5867
26	158	5697
27	167	5803
28	177	5926
29	189	6137
30	192	6024
31	194	5874
32	203	5963
33	208	5916
34	212	5871
35	216	5797
36	219	5710
37	222	5641
38	226	5573
39	227	5464
40	263	6151
41	264	6038
42	271	6043
43	274	5974
44	296	6294
45	298	6198
46	304	6184
47	306	6087
48	309	5997
49	322	6136
50	324	6039
51	327	5965
52	386	6901
53	398	6985
54	446	7664
55	454	7663
56	457	7568
57	460	7473
58	463	7384
59	465	7288
60	474	7297
61	476	7212
62	497	7393
63	500	7325
64	515	7417
65	520	7364
66	523	7289
67	528	7239
68	531	7176
69	538	7152
70	543	7117
71	549	7082
72	556	7062
73	559	6995
74	566	6985
75	575	6998
76	577	6923
77	610	7211
78	625	7296
79	630	7251
80	633	7182
81	637	7141
82	639	7062
83	650	7094
84	653	7037
85	655	6967
86	657	6898
87	659	6829
88	670	6861
89	679	6870
90	686	6860
91	710	7016
92	727	7093
93	741	7144
94	773	7365
95	776	7314
96	784	7301
97	809	7453
98	825	7509
99	830	7478
100	832	7410
101	834	7348
102	839	7313
103	848	7311
104	850	7252
105	865	7303
106	871	7276
107	882	7285
108	884	7227
109	885	7164
110	890	7133
111	897	7112
112	916	7191
113	926	7202
114	930	7157
115	940	7164
116	943	7120
117	945	7065
118	947	7017
119	961	7049
120	970	7052
121	995	7166
122	999	7128
123	1020	7206
124	1033	7231
125	1035	7180
126	1048	7208
127	1058	7212
128	1091	7366
129	1095	7331
130	1102	7311
131	1118	7356
132	1150	7498
133	1151	7444
134	1153	7389
135	1166	7407
136	1179	7429
137	1187	7414
138	1191	7381
139	1196	7349
140	1198	7301
141	1200	7255
142	1203	7213
143	1219	7247
144	1222	7210
145	1225	7166
146	1227	7124
147	1246	7176
148	1248	7132
149	1250	7086
150	1253	7048
151	1255	7005
152	1270	7035
153	1275	7008
154	1281	6984
155	1284	6951
156	1286	6909
157	1294	6900
158	1301	6882
159	1306	6861
160	1309	6821
161	1311	6783
162	1322	6790
163	1324	6752
164	1326	6712
165	1327	6667
166	1329	6629
167	1333	6602
168	1359	6686
169	1368	6679
170	1369	6640
171	1392	6701
172	1404	6715
173	1433	6805
174	1435	6767
175	1466	6866
176	1473	6849
177	1481	6842
178	1484	6809
179	1501	6838
180	1507	6822
181	1513	6801
182	1517	6776
183	1530	6788
184	1533	6754
185	1538	6733
186	1542	6704
187	1554	6715
188	1565	6719
189	1568	6685
190	1591	6740
191	1593	6706
192	1597	6680
193	1611	6694
194	1614	6666
195	1619	6645
196	1621	6610
197	1630	6605
198	1634	6578
199	1638	6555
200	1640	6520
201	1643	6491
202	1645	6461
203	1650	6438
204	1651	6405
205	1661	6402
206	1667	6388
207	1671	6364
208	1701	6440
209	1743	6557
210	1744	6523
211	1747	6494
212	1755	6486
213	1758	6459
214	1762	6435
215	1767	6416
216	1769	6386
217	1778	6380
218	1791	6389
219	1799	6381
220	1801	6351
221	1804	6324
222	1807	6299
223	1809	6267
224	1812	6242
225	1832	6277
226	1837	6255
227	1843	6240
228	1844	6210
229	1850	6193
230	1856	6179
231	1860	6159
232	1864	6138
233	1866	6109
234	1869	6084
235	1873	6063
236	1876	6041
237	1881	6022
238	1882	5995
239	1887	5976
240	1910	6016
241	1915	5999
242	1917	5972
243	1939	6008
244	1943	5989
245	1947	5969
246	1949	5942
247	1962	5949
248	1964	5925
249	1966	5899
250	1968	5873
251	1974	5860
252	1980	5847
253	1985	5830
254	1987	5807
255	1990	5783
256	1991	5758
257	1994	5735
258	1998	5716
259	2001	5695
260	2019	5717
261	2034	5731
262	2066	5792
263	2071	5775
264	2077	5761
265	2078	5734
266	2087	5731
267	2098	5732
268	2100	5708
269	2118	5728
270	2123	5711
271	2160	5782
272	2162	5759
273	2164	5734
274	2175	5735
275	2182	5724
276	2184	5702
277	2189	5685
278	2191	5663
279	2192	5639
280	2194	5615
281	2195	5590
282	2201	5578
283	2204	5559
284	2208	5539
285	2211	5520
286	2213	5499
287	2216	5479
288	2221	5465
289	2224	5446
290	2226	5424
291	2228	5402
292	2230	5382
293	2234	5366
294	2238	5349
295	2257	5369
296	2262	5354
297	2267	5342
298	2269	5321
299	2290	5344
300	2292	5323
301	2295	5304
302	2296	5282
303	2299	5264
304	2322	5293
305	2346	5322
306	2350	5305
307	2361	5306
308	2377	5316
309	2379	5295
310	2394	5304
311	2416	5329
312	2422	5317
313	2428	5304
314	2430	5286
315	2433	5266
316	2434	5246
317	2437	5227
318	2440	5210
319	2443	5192
320	2447	5177
321	2455	5169
322	2459	5154
323	2462	5138
324	2465	5120
325	2472	5112
326	2475	5095
327	2484	5090
328	2486	5070
329	2498	5072
330	2500	5054
331	2503	5036
332	2505	5017
333	2508	5001
334	2515	4992
335	2517	4974
336	2519	4957
337	2521	4938
338	2523	4920
339	2525	4903
340	2614	5053
341	2645	5090
