iter	Passed	Remaining
0	1	1027
1	2	1170
2	4	1457
3	6	1630
4	7	1559
5	9	1648
6	11	1585
7	12	1586
8	14	1629
9	16	1677
10	18	1704
11	20	1726
12	23	1757
13	25	1773
14	26	1740
15	28	1754
16	30	1767
17	32	1780
18	34	1772
19	36	1789
20	38	1784
21	40	1795
22	42	1804
23	44	1791
24	46	1796
25	48	1803
26	49	1769
27	51	1774
28	52	1752
29	54	1762
30	56	1760
31	58	1776
32	60	1781
33	62	1782
34	64	1771
35	65	1760
36	68	1770
37	70	1775
38	72	1779
39	74	1781
40	76	1783
41	78	1784
42	80	1786
43	82	1788
44	84	1791
45	86	1792
46	88	1792
47	90	1794
48	92	1795
49	94	1798
50	97	1807
51	99	1812
52	101	1814
53	103	1806
54	105	1807
55	106	1797
56	108	1798
57	110	1798
58	112	1793
59	114	1797
60	116	1797
61	118	1797
62	120	1797
63	122	1791
64	124	1797
65	126	1790
66	128	1791
67	131	1801
68	132	1790
69	134	1787
70	136	1783
71	138	1779
72	140	1781
73	141	1770
74	143	1766
75	144	1760
76	146	1755
77	148	1751
78	149	1741
79	151	1740
80	153	1736
81	154	1728
82	156	1725
83	158	1728
84	160	1728
85	162	1725
86	164	1722
87	166	1720
88	167	1716
89	169	1713
90	172	1720
91	175	1736
92	178	1738
93	180	1737
94	182	1733
95	183	1725
96	185	1726
97	187	1724
98	189	1722
99	190	1718
100	193	1717
101	194	1714
102	197	1720
103	199	1718
104	201	1713
105	202	1709
106	204	1707
107	206	1704
108	208	1700
109	210	1701
110	212	1705
111	214	1702
112	215	1695
113	217	1692
114	219	1689
115	221	1686
116	223	1686
117	225	1684
118	227	1681
119	228	1678
120	231	1679
121	232	1670
122	233	1667
123	235	1663
124	238	1669
125	240	1669
126	242	1664
127	244	1665
128	246	1663
129	248	1661
130	249	1654
131	251	1653
132	252	1645
133	254	1642
134	256	1640
135	258	1640
136	260	1638
137	261	1635
138	263	1635
139	266	1634
140	267	1632
141	270	1631
142	272	1630
143	273	1628
144	275	1625
145	277	1621
146	279	1620
147	281	1619
148	283	1616
149	284	1613
150	286	1610
151	288	1607
152	289	1604
153	291	1599
154	293	1597
155	294	1595
156	296	1593
